constructorStandingsId,raceId,constructorId,points,position,positionText,wins,name,year,round,date,race_name
26210,933,6,192,2,2,1,Ferrari,2015,8,2015-06-21,Austrian Grand Prix
26211,933,3,129,3,3,0,Williams,2015,8,2015-06-21,Austrian Grand Prix
26212,933,15,21,7,7,0,Sauber,2015,8,2015-06-21,Austrian Grand Prix
26213,933,9,55,4,4,0,Red Bull,2015,8,2015-06-21,Austrian Grand Prix
26214,933,10,31,5,5,0,Force India,2015,8,2015-06-21,Austrian Grand Prix
26215,933,5,19,8,8,0,Toro Rosso,2015,8,2015-06-21,Austrian Grand Prix
26216,933,1,4,9,9,0,McLaren,2015,8,2015-06-21,Austrian Grand Prix
26217,933,208,29,6,6,0,Lotus F1,2015,8,2015-06-21,Austrian Grand Prix
26218,933,209,0,10,10,0,Manor Marussia,2015,8,2015-06-21,Austrian Grand Prix
26219,934,131,371,1,1,8,Mercedes,2015,9,2015-07-05,British Grand Prix
26220,934,6,211,2,2,1,Ferrari,2015,9,2015-07-05,British Grand Prix
26221,934,3,151,3,3,0,Williams,2015,9,2015-07-05,British Grand Prix
26222,934,15,21,7,7,0,Sauber,2015,9,2015-07-05,British Grand Prix
26223,934,9,63,4,4,0,Red Bull,2015,9,2015-07-05,British Grand Prix
26224,934,10,39,5,5,0,Force India,2015,9,2015-07-05,British Grand Prix
26225,934,5,19,8,8,0,Toro Rosso,2015,9,2015-07-05,British Grand Prix
26226,934,1,5,9,9,0,McLaren,2015,9,2015-07-05,British Grand Prix
26227,934,208,29,6,6,0,Lotus F1,2015,9,2015-07-05,British Grand Prix
26228,934,209,0,10,10,0,Manor Marussia,2015,9,2015-07-05,British Grand Prix
26229,936,131,383,1,1,8,Mercedes,2015,10,2015-07-26,Hungarian Grand Prix
26230,936,6,236,2,2,2,Ferrari,2015,10,2015-07-26,Hungarian Grand Prix
26231,936,3,151,3,3,0,Williams,2015,10,2015-07-26,Hungarian Grand Prix
26232,936,15,22,8,8,0,Sauber,2015,10,2015-07-26,Hungarian Grand Prix
26233,936,9,96,4,4,0,Red Bull,2015,10,2015-07-26,Hungarian Grand Prix
26234,936,10,39,5,5,0,Force India,2015,10,2015-07-26,Hungarian Grand Prix
26235,936,5,31,7,7,0,Toro Rosso,2015,10,2015-07-26,Hungarian Grand Prix
26236,936,1,17,9,9,0,McLaren,2015,10,2015-07-26,Hungarian Grand Prix
26237,936,208,35,6,6,0,Lotus F1,2015,10,2015-07-26,Hungarian Grand Prix
26238,936,209,0,10,10,0,Manor Marussia,2015,10,2015-07-26,Hungarian Grand Prix
26260,938,131,451,1,1,10,Mercedes,2015,12,2015-09-06,Italian Grand Prix
26259,937,209,0,10,10,0,Manor Marussia,2015,11,2015-08-23,Belgian Grand Prix
26257,937,1,17,9,9,0,McLaren,2015,11,2015-08-23,Belgian Grand Prix
26256,937,5,35,7,7,0,Toro Rosso,2015,11,2015-08-23,Belgian Grand Prix
26253,937,15,23,8,8,0,Sauber,2015,11,2015-08-23,Belgian Grand Prix
26258,937,208,50,5,5,0,Lotus F1,2015,11,2015-08-23,Belgian Grand Prix
26252,937,3,161,3,3,0,Williams,2015,11,2015-08-23,Belgian Grand Prix
26255,937,10,49,6,6,0,Force India,2015,11,2015-08-23,Belgian Grand Prix
26254,937,9,108,4,4,0,Red Bull,2015,11,2015-08-23,Belgian Grand Prix
26251,937,6,242,2,2,2,Ferrari,2015,11,2015-08-23,Belgian Grand Prix
