Player,Season,Position,GP,TOI
Pavel Zacha,20-21,C,50,857.75
Peyton Krebs,20-21,C,4,45.73
Phil Kessel,20-21,C,56,956.85
Philipp Kurashev,20-21,C,54,706.22
Philippe Maillet,20-21,C,2,18.3
Philippe Myers,20-21,D,44,830.43
Phillip Danault,20-21,L,53,894.08
Phillip Di Giuseppe,20-21,L,31,343.88
Pierre Engvall,20-21,L,42,501.03
Pierre-Edouard Bellemare,20-21,L,53,600.32
Pierre-Luc Dubois,20-21,L,46,691.49
Pierre-Olivier Joseph,20-21,D,16,268.62
Pius Suter,20-21,C,55,897.32
Quinn Hughes,20-21,D,56,1277.05
Quinton Byfield,20-21,C,6,90.05
Radek Faksa,20-21,C,55,958.68
Radim Simek,20-21,D,40,567.67
Radim Zohorna,20-21,L,8,72.23
Radko Gudas,20-21,D,54,948.53
Rasmus Andersson,20-21,D,56,1188.55
Rasmus Asplund,20-21,C,28,359.93
Rasmus Dahlin,20-21,D,56,1210.05
Rasmus Kupari,20-21,C,7,80.3
Rasmus Ristolainen,20-21,D,49,1090.72
Rasmus Sandin,20-21,D,9,131.95
Reese Johnson,20-21,C,5,39.73
Reilly Smith,20-21,R,53,947.03
Rem Pitlick,20-21,C,10,113.03
Rhett Gardner,20-21,C,28,278.97
Richard Panik,20-21,R,48,593.55
Rickard Rakell,20-21,R,52,926.95
Riley Nash,20-21,C,37,466.07
Riley Sheahan,20-21,C,53,705
Riley Stillman,20-21,D,21,322.65
Robby Fabbri,20-21,C,30,517.65
Robert Bortuzzo,20-21,D,40,566.52
Robert Hagg,20-21,D,34,531.73
Robert Thomas,20-21,C,33,448.9
Rocco Grimaldi,20-21,C,40,512.73
Roman Josi,20-21,D,48,1168.18
Roope Hintz,20-21,L,41,747.25
Ross Colton,20-21,C,30,316.93
Ross Johnston,20-21,L,12,104.85
Rudolfs Balcers,20-21,L,41,603.17
Ryan Carpenter,20-21,C,40,507.65
Ryan Donato,20-21,C,50,630.38
Ryan Dzingel,20-21,C,40,508.3
Ryan Ellis,20-21,D,35,831.85
Ryan Getzlaf,20-21,C,48,795.55
Ryan Graves,20-21,D,54,1029.02
Ryan Hartman,20-21,R,51,768.63
Ryan Johansen,20-21,C,48,813.23
Ryan Lindgren,20-21,D,51,1019.73
Ryan Lomberg,20-21,L,34,330.22
Ryan MacInnis,20-21,C,16,159.58
Ryan McDonagh,20-21,D,50,1094.08
Ryan McLeod,20-21,C,10,127.88
Ryan Murray,20-21,D,48,893.38
Ryan Nugent-Hopkins,20-21,C,52,1080.08
Ryan O'Reilly,20-21,C,56,1161.93
Ryan Pulock,20-21,D,56,1256.67
Ryan Reaves,20-21,R,37,367.38
Ryan Strome,20-21,C,56,1022.83
Ryan Suter,20-21,D,56,1242.28
Sam Bennett,20-21,C,48,691.78
Sam Carrick,20-21,C,13,167.98
Sam Gagner,20-21,C,42,648.52
Sam Lafferty,20-21,C,34,332.38
Sam Reinhart,20-21,C,54,1055.1
Sam Steel,20-21,C,42,609.72
Sami Niku,20-21,D,6,77.8
Sami Vatanen,20-21,D,39,663.38
Sammy Blais,20-21,L,36,434.32
Samuel Girard,20-21,D,48,1114.12
Samuel Morin,20-21,D/L,20,203.83
Scott Harrington,20-21,D,12,196.12
Scott Laughton,20-21,L,53,817.28
Scott Mayfield,20-21,D,56,1090.53
Scott Sabourin,20-21,R,1,4.48
Sean Couturier,20-21,C,45,869.17
Sean Kuraly,20-21,C,47,660.35
Sean Malone,20-21,C,1,10.63
Sean Monahan,20-21,C,50,882.95
Sean Walker,20-21,D,47,853.9
Sebastian Aho,20-21,R,56,1089.88
Sebastian Aho2,20-21,D,3,40.05
Seth Jones,20-21,D,56,1412.72
Shane Pinto,20-21,C,12,150.25
Shayne Gostisbehere,20-21,D,41,817.55
Shea Theodore,20-21,D,53,1194.43
Shea Weber,20-21,D,48,1089.55
Sheldon Dries,20-21,C,3,23.43
Sheldon Rempal,20-21,R,3,24.88
Sidney Crosby,20-21,C,55,1120.88
Simon Benoit,20-21,D,6,103.18
Slater Koekkoek,20-21,D,18,236.95
Sonny Milano,20-21,L,6,88.4
Stefan Matteau,20-21,C,18,194.83
Stefan Noesen,20-21,R,6,57.65
Steven Fogarty,20-21,C,9,105.57
Steven Kampfer,20-21,D,20,334.12
Steven Lorentz,20-21,C,45,469.75
Steven Santini,20-21,D,3,42.02
Steven Stamkos,20-21,C,38,694.05
T.J. Oshie,20-21,R,53,957.37
Tage Thompson,20-21,C,38,527.17
Tanner Jeannot,20-21,L,15,181.95
Tanner Kero,20-21,C,39,413.32
Tanner Laczynski,20-21,C,5,49.88
Tanner Pearson,20-21,L,51,870.63
Tarmo Reunanen,20-21,D,4,53.1
Taro Hirose,20-21,L,6,86.22
Taylor Hall,20-21,L,53,946.55
Teddy Blueger,20-21,C,43,638.38
Teuvo Teravainen,20-21,L,21,345.27
Thomas Chabot,20-21,D,49,1286.98
Thomas Hickey,20-21,D,5,81.3
Tim Stützle,20-21,L,53,833.87
Timo Meier,20-21,R,54,866.52
Timothy Gettinger,20-21,L,2,23.43
Timothy Liljegren,20-21,D,2,30.18
Tj Brodie,20-21,D,56,1207.22
Tobias Bjornfot,20-21,D,33,555.33
Tobias Rieder,20-21,C,44,538.97
Tom Wilson,20-21,R,47,777.3
Tomas Hertl,20-21,C,50,955
Tomas Jurco,20-21,R,8,71.67
Tomas Nosek,20-21,L,38,494
Tomas Tatar,20-21,L,50,748.77
Tony Deangelo,20-21,D,6,110.85
Torey Krug,20-21,D,51,1149.17
Travis Boyd,20-21,C,39,418.37
Travis Dermott,20-21,D,51,674.43
Travis Hamonic,20-21,D,38,735.95
Travis Konecny,20-21,C,50,794.8
Travis Sanheim,20-21,D,55,1203.75
Travis Zajac,20-21,C,46,754.9
Trent Frederic,20-21,C,42,472.03
Trevor Lewis,20-21,C,56,550
Trevor Moore,20-21,C,56,814.03
Trevor Van Riemsdyk,20-21,D,20,340.78
Trevor Zegras,20-21,C,24,369.53
Troy Stecher,20-21,D,44,761.9
Troy Terry,20-21,C,48,705.55
Tucker Poolman,20-21,D,39,713.97
Ty Dellandrea,20-21,C,26,324.63
Ty Smith,20-21,D,48,965.9
Tyce Thompson,20-21,R,7,61.05
Tyler Bertuzzi,20-21,L,9,176.23
Tyler Bozak,20-21,C,31,462.3
Tyler Ennis,20-21,C,30,363.38
Tyler Graovac,20-21,C,14,136.15
Tyler Johnson,20-21,C,55,751.5
Tyler Lewington,20-21,D,2,28.33
Tyler Motte,20-21,C,24,383.97
Tyler Myers,20-21,D,55,1213.97
Tyler Pitlick,20-21,C,38,620.85
Tyler Seguin,20-21,C,3,50.82
Tyler Toffoli,20-21,C,52,910.42
Tyson Barrie,20-21,D,56,1198.08
Tyson Jost,20-21,C,54,762.05
Urho Vaakanainen,20-21,D,9,170.25
Valeri Nichushkin,20-21,R,55,773.88
Valtteri Filppula,20-21,C,38,592.63
Victor Hedman,20-21,D,54,1352.3
Victor Mete,20-21,D,28,442.37
Victor Olofsson,20-21,R,56,973.98
Victor Rask,20-21,C,54,780.23
Victor Soderstrom,20-21,D,4,65.23
Viktor Arvidsson,20-21,L,50,828.23
Ville Heinola,20-21,D,5,75.73
Vince Dunn,20-21,D,43,827.72
Vincent Trocheck,20-21,C,47,856.62
Vinni Lettieri,20-21,C,5,63.53
Vinnie Hinostroza,20-21,C,26,319.03
Vitali Kravtsov,20-21,R,20,247.37
Vitaly Abramov,20-21,R,2,19.43
Vladimir Tarasenko,20-21,R,24,418.08
Vladislav Gavrikov,20-21,D,55,1066.98
Vladislav Namestnikov,20-21,C,53,856.4
Wade Allison,20-21,R,14,181.05
Warren Foegele,20-21,L,53,750.17
Wayne Simmonds,20-21,R,38,455.45
Will Butcher,20-21,D,23,437.73
William Borgen,20-21,D,10,162.63
William Carrier,20-21,L,52,540.53
William Karlsson,20-21,C,56,1045.33
William Lagesson,20-21,D,19,268.32
William Lockwood,20-21,R,2,28.38
William Nylander,20-21,C,51,846.45
Wyatt Kalynuk,20-21,D,21,341.08
Xavier Ouellet,20-21,D,6,86.43
Yakov Trenin,20-21,C,45,519.77
Yanni Gourde,20-21,C,56,955.75
Yannick Weber,20-21,D,2,22.63
Yegor Sharangovich,20-21,C,54,907.6
Zac Dalpe,20-21,C,12,127.48
Zac Jones,20-21,D,10,149.83
Zac Rinaldo,20-21,C,4,23.35
Zach Aston-Reese,20-21,C,45,657.55
Zach Bogosian,20-21,D,45,654.17
Zach Hyman,20-21,C,43,832.65
Zach Parise,20-21,L,45,627.25
Zach Sanford,20-21,L,52,774.13
Zach Senyshyn,20-21,R,8,80.88
Zach Werenski,20-21,D,35,852.22
Zach Whitecloud,20-21,D,51,907.22
Zack Kassian,20-21,R,27,319.62
Zack MacEwen,20-21,C,34,293.67
Zdeno Chara,20-21,D,55,1006.27
